# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = regression_model
# start_datetime = 2021-06-10 01:56:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./regression_normal/input_b5.json
# init = 2 (Default)
# random
#   seed = 4207672239 (Default)
# output
#   file = ./regression_normal/output_b5.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,alpha,sigma,s
# Adaptation terminated
# Step size = 0.194889
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1
-25.8518,0.943939,0.194889,4,15,0,28.6741,2.00327,13.081,5.37947,2.01391
-22.9959,0.984162,0.194889,3,15,0,26.8567,2.66219,14.4224,2.99346,1.75624
-24.5714,0.805863,0.194889,2,3,0,24.6874,2.90071,14.4794,4.3523,1.39157
-24.2942,0.990407,0.194889,5,47,0,26.0202,7.6258,12.437,3.59655,4.02295
-25.1545,0.93834,0.194889,3,15,0,26.4063,7.04756,11.6331,3.46335,6.1139
-24.4213,0.974134,0.194889,3,7,0,27.1028,7.52455,11.8084,2.74245,2.44616
-23.7428,0.986304,0.194889,5,39,0,25.4358,5.34123,12.4851,2.34379,3.29471
-24.1666,0.90632,0.194889,2,3,0,24.4537,5.46298,12.5729,3.88875,3.3332
-23.4358,0.987331,0.194889,4,31,0,24.5865,4.91095,14.3032,2.61457,3.12619
-24.0958,0.945419,0.194889,5,47,0,25.1389,0.710677,14.2603,3.12279,0.843443
-25.044,0.794545,0.194889,4,31,0,29.443,0.304089,17.2066,2.61544,1.37857
-24.1299,1,0.194889,2,7,0,26.37,0.38012,17.353,3.44387,1.81728
-25.7466,0.793673,0.194889,3,15,0,27.174,-0.176708,17.0463,5.15745,2.36195
-24.0478,0.99021,0.194889,4,31,0,26.7401,1.83245,15.7246,3.27323,0.811425
-23.9898,0.998257,0.194889,4,31,0,25.6349,-0.642989,16.0176,3.77784,1.42568
-23.4453,0.973262,0.194889,3,15,0,24.7803,0.497516,16.9894,3.39428,0.3233
-23.9467,0.94296,0.194889,2,7,0,26.3906,0.923808,16.8872,4.307,0.618146
-23.8247,0.980591,0.194889,4,31,0,26.0237,-0.809733,17.0937,3.51056,0.807896
-25.4175,0.676498,0.194889,3,15,0,28.1351,-0.300697,16.4033,6.29607,0.562662
-25.0169,0.92381,0.194889,3,11,0,27.1052,0.34685,15.5482,5.36702,0.200283
-23.1498,0.323392,0.194889,4,23,0,28.2757,0.114508,14.8502,3.41591,0.489414
-24.5125,0.904614,0.194889,5,35,0,25.2682,4.22848,15.2727,3.25391,3.77984
-24.5539,0.978457,0.194889,4,15,0,25.2493,4.35862,15.3205,3.2549,3.60531
-24.7883,0.94194,0.194889,5,47,0,26.6203,6.22952,11.1807,2.80199,2.57803
-24.1295,0.929562,0.194889,3,11,0,27.0596,6.53324,11.7839,2.98519,5.24682
-23.2895,0.982263,0.194889,5,47,0,24.8328,5.30935,13.9211,2.66691,3.54569
-23.1247,0.967961,0.194889,5,45,0,24.5294,2.92707,14.2299,3.01727,1.65929
-24.3313,0.88093,0.194889,5,43,0,25.1373,4.22959,14.6342,2.31179,3.46172
-23.5971,0.987965,0.194889,5,43,0,24.8256,4.80561,14.111,2.55427,2.14865
-27.5992,0.806289,0.194889,4,31,0,30.5825,7.47564,9.45226,2.85414,2.79345
-24.4428,0.996668,0.194889,3,7,0,28.1513,8.17104,10.5982,3.00307,5.59493
-24.5824,0.995444,0.194889,4,31,0,26.1509,7.15618,13.4707,2.4106,4.5037
