# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = normal_model
# start_datetime = 2021-05-27 01:27:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./ex_toy01/inputs.json
# init = 2 (Default)
# random
#   seed = 2996315998 (Default)
# output
#   file = ./ex_toy01/output.txt
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
# Adaptation terminated
# Step size = 0.723008
# Diagonal elements of inverse mass matrix:
# 0.00279455, 0.0110958
22.104,0.935636,0.723008,3,7,0,-19.8054,-1.08423,0.322229
23.3534,0.719781,0.723008,2,3,0,-19.0037,-1.01906,0.312205
24.4953,0.978419,0.723008,3,7,0,-22.948,-0.982398,0.34049
24.6839,0.890742,0.723008,3,7,0,-23.2191,-1.01395,0.359046
24.7081,0.999377,0.723008,2,3,0,-24.6525,-1.00908,0.369494
24.6512,0.917959,0.723008,3,7,0,-23.6132,-0.974519,0.370395
23.8835,0.7513,0.723008,2,3,0,-21.3223,-0.927942,0.365046
19.2077,0.703074,0.723008,2,3,0,-18.4279,-1.04535,0.274451
22.7254,1,0.723008,1,1,0,-20.0002,-1.0337,0.305922
23.6932,1,0.723008,1,1,0,-22.8758,-1.02997,0.322057
24.5037,0.619009,0.723008,2,3,0,-18.4841,-0.960032,0.361145
24.2159,0.868358,0.723008,3,7,0,-22.9646,-1.04639,0.380072
24.5838,0.930356,0.723008,1,3,0,-23.3393,-0.982903,0.383537
24.3937,0.902452,0.723008,1,3,0,-23.2354,-1.00138,0.334684
24.4695,0.960947,0.723008,3,7,0,-23.7595,-0.966859,0.383478
24.545,0.984683,0.723008,3,7,0,-24.15,-1.02278,0.350781
24.1878,0.851521,0.723008,3,7,0,-22.6214,-0.98215,0.404611
24.5405,0.960213,0.723008,3,7,0,-23.4561,-0.996248,0.340757
24.5049,0.985856,0.723008,2,3,0,-24.2952,-0.97222,0.345475
23.8753,0.949074,0.723008,2,3,0,-23.8038,-1.05858,0.389722
23.8538,0.997263,0.723008,3,7,0,-23.769,-0.937936,0.342434
24.1891,0.943343,0.723008,2,3,0,-23.1343,-0.966942,0.333878
23.8314,0.9337,0.723008,1,1,0,-23.8065,-0.958083,0.327126
23.5448,0.888636,0.723008,2,3,0,-22.2655,-0.920776,0.350996
24.4491,0.996471,0.723008,2,3,0,-23.2542,-1.00786,0.392489
24.5919,0.94778,0.723008,3,7,0,-23.5366,-0.979822,0.347058
24.5919,0.741951,0.723008,1,3,0,-22.1899,-0.979822,0.347058
24.6269,1,0.723008,1,1,0,-24.5874,-0.981117,0.34911
24.6788,0.998977,0.723008,3,7,0,-24.5437,-0.976135,0.364214
24.4884,0.973159,0.723008,3,7,0,-24.3067,-1.01361,0.388517
24.4807,0.997905,0.723008,3,7,0,-24.2493,-1.02335,0.346385
24.7291,1,0.723008,2,3,0,-24.4921,-0.991856,0.355982
24.7464,0.994315,0.723008,1,3,0,-24.6685,-0.99576,0.367666
18.697,0.525532,0.723008,2,3,0,-18.1119,-1.17878,0.447327
17.4474,0.971601,0.723008,3,7,0,-17.1603,-1.18703,0.484002
14.764,0.82591,0.723008,2,3,0,-13.938,-1.2507,0.440033
15.8695,1,0.723008,1,1,0,-14.4026,-1.23331,0.428861
22.3727,1,0.723008,2,3,0,-16.1109,-1.05166,0.450394
22.9436,0.94859,0.723008,3,7,0,-20.8626,-0.944521,0.314478
23.3776,0.770184,0.723008,3,7,0,-20.1806,-1.06524,0.409642
21.4776,0.759667,0.723008,3,7,0,-19.5086,-0.862137,0.370998
20.9246,1,0.723008,2,3,0,-19.8399,-0.853332,0.419659
23.5117,0.864633,0.723008,2,3,0,-18.7731,-0.963778,0.424825
23.2608,0.941842,0.723008,2,3,0,-22.1788,-0.979911,0.309441
24.313,0.9854,0.723008,3,7,0,-22.7538,-1.0389,0.350478
24.6325,1,0.723008,2,3,0,-24.2407,-0.985538,0.34773
24.477,0.980414,0.723008,3,7,0,-24.3239,-1.03251,0.37353
24.5685,0.959092,0.723008,2,3,0,-23.8552,-1.00473,0.343116
24.4431,0.983278,0.723008,2,3,0,-24.2647,-0.968158,0.344406
24.7425,0.950701,0.723008,3,7,0,-23.886,-0.99006,0.366779
23.7446,0.912294,0.723008,2,5,0,-23.7427,-0.923057,0.378428
24.6946,1,0.723008,2,3,0,-23.8435,-0.97851,0.365412
24.4223,0.968254,0.723008,2,3,0,-24.2635,-1.0253,0.344224
24.5424,1,0.723008,3,7,0,-24.4189,-1.01405,0.344686
22.4665,0.823548,0.723008,2,3,0,-22.0822,-0.975672,0.298738
