# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = normal_model
# start_datetime = 2021-05-27 01:27:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./ex_toy01/inputs.json
# init = ./ex_toy01/init.json
# random
#   seed = 2996367183 (Default)
# output
#   file = ./ex_toy01/output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
# Adaptation terminated
# Step size = 0.048678
# Diagonal elements of inverse mass matrix:
# 1, 1
21.3507,0.999221,0.048678,3,7,0,-20.0591,-1.02911,0.481181
21.045,0.99876,0.048678,2,3,0,-20.9039,-1.00721,0.490281
21.0876,0.988161,0.048678,3,7,0,-20.3268,-1.04515,0.289932
23.4137,0.762451,0.048678,2,7,0,-19.0551,-0.945431,0.420967
21.1997,0.93838,0.048678,3,7,0,-20.3922,-0.969152,0.485491
24.4916,0.997028,0.048678,2,7,0,-20.6781,-1.01526,0.342341
23.9709,0.953479,0.048678,2,3,0,-23.7946,-1.00689,0.322732
23.7188,0.978363,0.048678,1,1,0,-23.7116,-1.00868,0.317349
21.0334,0.785585,0.048678,2,7,0,-18.8933,-1.00514,0.490631
22.876,0.874602,0.048678,3,7,0,-19.0023,-0.895542,0.387501
23.5519,0.986624,0.048678,2,7,0,-22.5443,-0.931191,0.405763
22.7793,0.95799,0.048678,2,7,0,-20.2713,-1.05195,0.313742
22.4658,0.83626,0.048678,2,3,0,-21.3378,-0.948927,0.305254
20.4151,0.708626,0.048678,2,3,0,-18.2886,-1.00154,0.277567
18.8448,0.704947,0.048678,1,1,0,-18.7434,-1.03732,0.2703
23.7974,0.870073,0.048678,2,3,0,-16.1368,-1.03225,0.325486
24.547,1,0.048678,3,7,0,-23.3716,-1.01841,0.381962
23.5004,0.825098,0.048678,2,5,0,-22.6858,-1.06998,0.34659
24.015,0.912213,0.048678,1,3,0,-22.0741,-0.97463,0.325889
24.4367,0.964116,0.048678,2,7,0,-23.5315,-1.03702,0.365903
24.0109,0.876619,0.048678,2,3,0,-23.1,-1.04682,0.341933
24.2784,1,0.048678,2,3,0,-23.9234,-0.945719,0.368361
23.8917,0.952737,0.048678,2,7,0,-22.34,-0.946714,0.335845
24.2684,0.897908,0.048678,2,3,0,-22.7813,-1.04685,0.366948
24.3354,0.983519,0.048678,2,3,0,-23.8881,-0.960722,0.388411
23.5634,0.866582,0.048678,3,7,0,-20.3074,-0.933591,0.407365
23.9406,0.983041,0.048678,3,7,0,-23.253,-0.959147,0.40757
21.7719,0.505147,0.048678,2,3,0,-18.7862,-1.12328,0.401891
23.2891,0.994975,0.048678,2,7,0,-21.0715,-1.04616,0.425411
23.5457,0.974266,0.048678,2,7,0,-22.7734,-0.924423,0.39863
23.1726,0.852907,0.048678,1,3,0,-20.5806,-1.00685,0.438736
23.9265,0.872345,0.048678,2,7,0,-21.1552,-0.930471,0.360798
24.4214,1,0.048678,2,3,0,-24.0242,-0.954981,0.35927
24.3666,0.882893,0.048678,2,3,0,-23.3976,-1.0413,0.36444
24.4802,1,0.048678,1,1,0,-24.3518,-1.03403,0.366632
23.9812,0.970733,0.048678,2,3,0,-23.8389,-1.05929,0.377211
